100 740
21, 71, 0,
21, 55, 0,
21, 50, 0,
21, 27, 0,
21, 47, 1,
71, 28, 0,
71, 35, 0,
71, 87, 0,
71, 12, 0,
7, 17, 0,
7, 26, 0,
7, 90, 0,
7, 32, 0,
7, 22, 0,
17, 9, 0,
17, 51, 0,
17, 62, 0,
17, 43, 0,
53, 69, 0,
53, 24, 0,
53, 65, 0,
53, 51, 0,
53, 2, 1,
69, 20, 0,
69, 4, 0,
69, 36, 0,
69, 51, 0,
23, 68, 0,
23, 38, 0,
23, 83, 0,
23, 82, 0,
23, 66, 0,
68, 42, 0,
68, 49, 0,
68, 10, 0,
68, 82, 0,
10, 98, 0,
10, 99, 0,
10, 67, 0,
10, 78, 0,
98, 2, 0,
98, 11, 0,
98, 79, 0,
98, 18, 0,
1, 95, 0,
1, 79, 0,
1, 26, 0,
1, 35, 0,
1, 57, 0,
95, 67, 0,
95, 0, 0,
95, 45, 0,
95, 92, 0,
26, 47, 0,
26, 83, 0,
26, 76, 0,
90, 73, 0,
90, 31, 0,
90, 25, 0,
90, 46, 0,
73, 74, 0,
73, 94, 0,
73, 91, 0,
73, 6, 0,
56, 83, 0,
56, 31, 0,
56, 76, 0,
56, 8, 0,
56, 75, 0,
83, 52, 0,
83, 3, 0,
20, 93, 0,
20, 97, 0,
20, 51, 0,
20, 3, 0,
93, 91, 1,
93, 89, 0,
93, 86, 0,
93, 24, 0,
46, 57, 0,
46, 0, 0,
46, 41, 0,
46, 62, 0,
57, 58, 0,
57, 31, 0,
57, 80, 0,
9, 81, 0,
9, 61, 0,
9, 18, 0,
9, 13, 0,
81, 41, 0,
81, 33, 0,
81, 67, 0,
81, 59, 0,
12, 43, 0,
12, 63, 0,
12, 37, 0,
12, 50, 0,
43, 34, 0,
43, 24, 0,
43, 33, 0,
28, 94, 0,
28, 89, 1,
28, 32, 0,
28, 88, 0,
94, 61, 0,
94, 6, 0,
94, 64, 0,
31, 16, 0,
31, 66, 0,
55, 86, 0,
55, 63, 0,
55, 99, -1,
55, 87, 0,
13, 72, 0,
13, 96, 0,
13, 58, 0,
13, 22, 0,
72, 37, 0,
72, 25, 0,
72, 59, 0,
72, 36, 0,
32, 85, 0,
32, 14, 0,
32, 97, 0,
85, 41, 0,
85, 63, 0,
85, 70, 0,
85, 47, 0,
11, 87, 0,
11, 64, 0,
11, 52, 0,
11, 91, 0,
87, 99, 0,
87, 6, 0,
79, 96, 0,
79, 49, 0,
79, 62, 0,
38, 80, 0,
38, 39, 0,
38, 48, 0,
38, 41, 0,
80, 15, 0,
80, 5, 0,
80, 29, 0,
34, 58, 0,
34, 48, 0,
34, 45, 0,
34, 42, 0,
58, 33, 0,
58, 49, 1,
74, 44, 0,
74, 4, 0,
74, 19, 0,
74, 15, 0,
51, 29, 0,
16, 78, 0,
16, 48, 0,
16, 25, 0,
16, 18, 0,
27, 61, 0,
27, 2, 0,
27, 88, 0,
27, 66, 0,
61, 6, 0,
61, 30, 0,
42, 59, 0,
42, 19, 0,
42, 65, 0,
59, 36, 0,
59, 24, 0,
18, 37, 0,
18, 60, 0,
37, 82, 0,
37, 54, 0,
76, 44, 0,
76, 96, 0,
76, 2, 0,
86, 48, 0,
86, 8, 0,
86, 36, 0,
30, 66, 0,
30, 75, 0,
30, 84, 0,
30, 6, 0,
66, 77, 0,
